sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:100060;100060;1900-01-01;9999-12-31;81;VALIDATED;Aare Seeland mobil (snb);Aare Seeland mobil (snb);Aare Seeland mobil (snb);Aare Seeland mobil (snb);ASM-snb;ASM-snb;ASM-snb;ASM-snb;10;Eisenbahn;Ferrovia;Chemin de fer;#0136;asm;Aare Seeland mobil AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100061;100061;1900-01-01;9999-12-31;82;VALIDATED;Schweizerische Südostbahn (sob);Schweizerische Südostbahn (sob);Schweizerische Südostbahn (sob);Schweizerische Südostbahn (sob);SOB-sob;SOB-sob;SOB-sob;SOB-sob;10;Eisenbahn;Ferrovia;Chemin de fer;#0019;SOB;Schweizerische Südostbahn AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100062;100062;1900-01-01;9999-12-31;84;VALIDATED;Sursee-Triengen-Bahn;Sursee-Triengen-Bahn;Sursee-Triengen-Bahn;Sursee-Triengen-Bahn;ST;ST;ST;ST;10;Eisenbahn;Ferrovia;Chemin de fer;#0044;ST;Sursee-Triengen-Bahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100063;100063;1900-01-01;9999-12-31;85;VALIDATED;Sensetalbahn;Sensetalbahn;Sensetalbahn;Sensetalbahn;STB;STB;STB;STB;10;Eisenbahn;Ferrovia;Chemin de fer;;;;2022-08-04 14:16:30;2025-03-06 08:32:20
ch:1:sboid:100064;100064;1900-01-01;9999-12-31;86;VALIDATED;Zentralbahn;Zentralbahn;Zentralbahn;Zentralbahn;ZB;ZB;ZB;ZB;10;Eisenbahn;Ferrovia;Chemin de fer;#0171;zb;zb Zentralbahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100066;100066;1900-01-01;9999-12-31;88;VALIDATED;Regionalverkehr Bern-Solothurn;Regionalverkehr Bern-Solothurn;Regionalverkehr Bern-Solothurn;Regionalverkehr Bern-Solothurn;RBS;RBS;RBS;RBS;10;Eisenbahn;Ferrovia;Chemin de fer;#0170;RBS;Regionalverkehr Bern-Solothurn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100067;100067;1900-01-01;9999-12-31;89;VALIDATED;Appenzeller Bahnen (tb);Appenzeller Bahnen (tb);Appenzeller Bahnen (tb);Appenzeller Bahnen (tb);AB-tb;AB-tb;AB-tb;AB-tb;10;Eisenbahn;Ferrovia;Chemin de fer;#0109;AB;Appenzeller Bahnen AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100069;100069;1900-01-01;9999-12-31;92;VALIDATED;BLS AG (vhb);BLS AG (vhb);BLS AG (vhb);BLS AG (vhb);BLS-vhb;BLS-vhb;BLS-vhb;BLS-vhb;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100070;100070;1900-01-01;9999-12-31;93;VALIDATED;Matterhorn Gotthard Bahn (bvz);Matterhorn Gotthard Bahn (bvz);Matterhorn Gotthard Bahn (bvz);Matterhorn Gotthard Bahn (bvz);MGB-bvz;MGB-bvz;MGB-bvz;MGB-bvz;10;Eisenbahn;Ferrovia;Chemin de fer;#0180;MGB;Matterhorn Gotthard Verkehrs AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100071;100071;1900-01-01;9999-12-31;94;VALIDATED;Waldenburgerbahn;Waldenburgerbahn;Waldenburgerbahn;Waldenburgerbahn;BLT-wb;BLT-wb;BLT-wb;BLT-wb;10;Eisenbahn;Ferrovia;Chemin de fer;#0122;BLT;BLT Baselland Transport AG;2022-08-04 14:16:27;2022-08-04 14:16:27
